,Producto1,Producto2,Correlacion
1,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-14:49:115:116,-0.07616494740038275
2,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-157:273:651:652,0.1615564065253854
3,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-15:50:117:118,0.017317547422944595
4,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-16:51:119:120,0.33369578927606963
5,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-19:52:121:122,0.11258987199165901
6,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-205:306:758:759,-0.08372273942218739
7,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-208:432:1113:1114,-0.5171139950920164
8,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-20:53:123:124,-0.025075837204293572
9,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-21:54:125:126,0.36860006745275886
10,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-233:577:1503:1504,-0.026317405519098076
11,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-236:307:760:761,0.4030437002717457
12,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-241:367:958:959,0.5139354202580916
13,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-25:58:133:134,0.226958384973397
14,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-279:366:956:957,0.030055206495450883
15,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-2:42:99:100,0.31147601255635027
16,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-2:42:99:101,0.3765013722177488
17,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-30:63:143:144,0.11567358997240502
18,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-330:576:1501:1502,0.03395353193542199
19,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-367:488:1260:1261,0.37927991538450445
20,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-393:618:1596:1597,-0.09414898672960204
21,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-396:719:1867:1868,-0.2657323718515494
22,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-397:578:1505:1506,0.16847027386687413
23,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-40058:70129:70130:47263,0.05991714451118309
24,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-440:579:1507:1508,0.35401222215437134
25,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-440:579:1509:1510,0.09226717614629532
26,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-44789:80549:80550:53091,0.3374997854079238
27,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-47:67:151:152,0.15153029624263348
28,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-4:44:104:105,0.3014702075144609
29,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-52:78:177:178,-0.6410135554761277
30,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-561:754:1940:1941,0.042028255192641535
31,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-579:752:1936:1937,-0.05299367928041281
32,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-60:91:203:204,0.17547686703456875
33,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-61:92:205:229,0.057054428196174505
34,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT1-66:87:195:196,0.4325351060856819
35,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT100014-13454:24507:24508:16218,0.10530271806376261
36,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-115016:262946:262947:142755,-0.08322862380015422
37,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-154:296447:296448:160938,-0.011946880884477767
38,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-208362:511397:511398:258799,0.19450105591609781
39,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-305509:1018259:1018260:563293,-0.23863202944919895
40,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-370:393813:393814:210159,0.04001009629015291
41,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-44:643471:643472:327559,0.007063431367844994
42,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-455075:1153677:1153676:630613,-0.17593857651057887
43,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-455150:1153426:1153427:630219,-0.43387313259250543
44,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-52857:101263:101262:63782,-0.012540547077233104
45,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-52860:101265:101264:63788,-0.05824349719482068
46,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-52864:101267:101266:63795,-0.23655877505767403
47,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-54:569323:569324:286789,0.2352172062071392
48,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-60271:510131:510132:258690,-0.5662014076468214
49,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-73423:168376:168377:92108,-0.2536127038223809
50,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104105-73435:169267:169268:92127,-0.18757554132347723
51,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-16:261839:261840:142273,0.4243188498382782
52,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-30:244845:244846:134243,0.18467590844181056
53,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-330:254488:254489:139111,0.38354994029787176
54,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-367:261835:261836:142264,0.3278078717877342
55,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-455147:1153424:1153423:630218,-0.07586483112347141
56,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-455422:1153682:1153683:630618,0.6936402660025429
57,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-456426:1155955:1155956:631850,0.738437535925086
58,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-72829:165644:165645:91387,-0.26736671571336895
59,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-72832:165646:165647:91444,0.1958505245905952
60,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104107-77661:180253:180254:97944,0.20814180739397392
61,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-26:353573:353574:192764,0.22733022441243803
62,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-26:360303:360304:196351,0.46022401778468425
63,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-455604:1155694:1155695:631134,-0.659579387489715
64,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-455605:1155679:1155680:631333,-0.6829280067066539
65,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-60301:124347:124348:73260,0.3587248180838498
66,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-64:1114193:1114194:608238,0.05803541760839272
67,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT104111-64:551159:551160:277542,0.25834526542424624
68,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-100:332:869:870,0.36199867128550917
69,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-115:274:653:654,0.12533410600375777
70,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-13447:24489:24490:16202,0.12404426360110345
71,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-13447:24531:24532:16342,0.10928281840571355
72,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-13451:24501:24502:16211,0.08702931660833693
73,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-13457:24513:24514:16224,0.33377734472119897
74,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-148:338:881:882,0.041369343431144366
75,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-15260:26859:26860:18439,-0.16718861521131065
76,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-154:275:655:656,0.11375552359552471
77,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-158:309:765:766,-0.08358450215078513
78,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-21355:38262:38263:26107,0.1037774478918885
79,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-249:820:2091:2092,-0.02016332405388498
80,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-258:334:873:874,-0.0017052389145419222
81,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-280:368:960:961,0.4097335337273787
82,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-281:370:964:965,0.4317122260590874
83,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-31101:53541:53542:36878,0.1811786657478012
84,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-31:64:145:146,-0.05423202914878818
85,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-32:65:147:148,0.06257581630611966
86,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-346:464:1180:1181,0.0208031539936644
87,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-36212:63209:63210:42875,-0.27817028514654984
88,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-36215:63238:63239:42882,0.13402500445187554
89,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-370:628:1616:1617,0.12761925352034265
90,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-389:625:1610:1611,-0.23709768965102127
91,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-390:623:1606:1607,0.29250626410189623
92,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-392:624:1608:1609,0.22657406305537103
93,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-394:621:1602:1603,0.0008947355574925686
94,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-395:626:1612:1613,0.11551904825291542
95,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-398:721:1871:1872,0.21433389764193395
96,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-40061:70131:70132:47269,0.29424100710672263
97,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-45497:81653:81654:54005,0.09665502251837238
98,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-46861:84984:84985:55848,0.06496562497786779
99,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-50:75:170:171,0.10773961935856509
100,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-51:76:173:174,-0.17803493424634842
101,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-53:79:179:180,0.035114747051012106
102,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-543:722:1873:1874,0.1575568239225969
103,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-54:85:191:192,-0.06039536415311611
104,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-55:81:183:184,0.2532511571015882
105,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-563:755:1942:1943,-0.1778316031193047
106,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-5:77:175:176,0.03854598823554656
107,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT2-86:331:867:868,0.27819144235479526
108,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-13460:24519:24520:16230,0.00453422759889412
109,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-31098:53485:53486:36872,-0.10411695244136365
110,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-385:716:1861:1862,-0.2025534421661595
111,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-454:724:1877:1878,0.19878855938023868
112,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-457:718:1865:1866,0.3632989644319701
113,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-460:725:1879:1880,0.0025182072599768536
114,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-566:750:1932:1933,0.1323118953274617
115,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT4-567:751:1934:1935,0.5962221032097198
116,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT5-464:619:1598:1599,-0.1474193797286724
117,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-15264:26867:26868:18446,0.03482528695504152
118,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-234:304:750:770,-0.43233558242331965
119,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-26:59:135:136,0.3577469857275867
120,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-283:371:966:967,-0.4467732078052573
121,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-298:790:2017:2018,-0.4822028517893283
122,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-43:73:164:863,0.21142845286882714
123,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-46:61:139:140,0.30015995156784747
124,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-46:61:239:240,0.49166559724087355
125,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-46:61:727:728,-0.10234546920869948
126,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-64:86:193:194,0.2992273148917194
127,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-658:852:2157:2158,-0.36129431722373356
128,precio_BAQ-FRU1-CAT1-111:277:659:660,precio_BAQ-FRU1-CAT6-82:276:657:658,0.20308127403469234
129,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-111:277:659:660,-0.07616494740038275
131,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-157:273:651:652,-0.47067395853597654
132,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-15:50:117:118,0.6505076734118443
133,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-16:51:119:120,-0.420774051490244
134,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-19:52:121:122,0.3562811549120355
135,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-205:306:758:759,0.1705083234625048
136,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-208:432:1113:1114,0.5870503672162076
137,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-20:53:123:124,0.5554135169895724
138,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-21:54:125:126,0.05909477631218669
139,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-233:577:1503:1504,0.5006505013311445
140,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-236:307:760:761,-0.29642898455686495
141,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-241:367:958:959,-0.2864055691576613
142,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-25:58:133:134,-0.3245028101464639
143,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-279:366:956:957,0.883881975240691
144,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-2:42:99:100,-0.34340249115887567
145,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-2:42:99:101,-0.20846871639680734
146,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-30:63:143:144,-0.23085501956763432
147,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-330:576:1501:1502,0.29743446604517054
148,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-367:488:1260:1261,-0.06880037069859817
149,precio_BAQ-FRU1-CAT1-14:49:115:116,precio_BAQ-FRU1-CAT1-393:618:1596:1597,0.46829655653753716
